"# of Fireplaces","Address - City","Address - Street Complete","Address - Zip Code","Architectural Style","Bedrooms And Possible Bedrooms","Close Date","Close Price","Cooling","DOM","Exterior Features","Fireplace Features","Full Bathrooms","Garage Spaces","Heating","Levels","List Price","Listing Date","Listing Number","Lot Size - Acres","Lot Size - Sq Ft","On Market Date","Original Price","Parking Features","Partial Bathrooms","Patio And Porch Features","Pending Date","Pool","Pool Features","Property Type","Public Remarks","Square Footage","Status","Subdivision","Year Built Details"
"3","Grass Valley","13383 Bass Trail","95945","Colonial,Traditional","4 (5)","","0.00","Ceiling Fan(s),Central,Whole House Fan,MultiUnits,MultiZone","688","","Master Bedroom,Double Sided,Free Standing,Wood Stove,Gas Log","3","4","Propane,Central,Propane Stove,Fireplace(s),Gas,Wood Stove","Two","1399000.00","05/04/23","223040162","7.2600","316246","07/07/23","1399000.00","24'+ Deep Garage,Covered,RV Possible,Detached,Enclosed,Garage Door Opener,Garage Facing Front,Guest Parking Available","1","Back Porch,Uncovered Deck,Uncovered Patio","","No","","Residential","Please do not drive by! This is a gated community and the residents enjoy their privacy. Spacious family home on 7.26+/- acres in gated Subdivision.  4 bedroom, 3 bath with large bedroom suite on the main level. Formal living and dining rooms, kitchen breakfast bar, large laundry room. Sunny kitchen with large center island. Huge family room over the garage with private deck. Beautiful lawn area to the water's edge. Oversize garage. Horse stall and corral. NID irrigation water. This home and only one other home share the use of the 2+/- acre, private lake. Lake is man-made, lined with clay and filled with NID water. CLEAN! Private setting, level acreage in a great location less than 5 miles to shopping, hospitals and conveniences. 10 minutes to Rollins Lake, fishing and boating. Fiber optics high speed internet available.","5159","Active","Live Oak Estates","1994"
"0","Grass Valley","607 Cold Spring Ct","95945","Contemporary,Craftsman","3","","0.00","Ceiling Fan(s),Central","574","","","2","2","Central","Two","649000.00","10/27/23","223102263","0.1400","6098","10/29/23","723000.00","Attached,Garage Door Opener","0","Uncovered Patio","","No","","Residential","Builder looking at all offers. Now is the time to Ditch the older home maintenance & high utilities! This brand new 3 bed, 2 bath stunner in Grass Valley is your corner office with a sunshine view. Unwind in 1992 sqft of open-concept luxury, featuring a gourmet kitchen that'll make your inner chef jealous (granite counters, white cabinets, and top-of-the-line GE stainless steel appliances, hello!). Primary suite awaits with walk-in closet & double vanity. PLUS owned solar AND HOA-maintained front landscaping = low-maintenance living!  Craving a vibrant community? Historic downtown Grass Valley is a short jaunt away, brimming with shops, restaurants, and cultural gems. Need a nature escape? Your backyard practically becomes the trailhead! Breathe in the fresh mountain air and explore the endless hiking and biking opportunities right outside your door.  Owned solar panels keep your energy costs low, so you can focus on the things that truly matter. This isn't just a house, it's your perfect-fit lifestyle. Don't miss out on this rare opportunity to live life on your terms!","1992","Active","Timberwood Estates","New"
"0","Grass Valley","506 Liberty Ct","95945","Contemporary,Craftsman","3","","0.00","Ceiling Fan(s),Central","574","","","2","2","Central","Two","649000.00","10/27/23","223099858","0.1300","5663","10/29/23","710000.00","Attached,Garage Door Opener,Garage Facing Front","0","Uncovered Deck","","No","","Residential","Builder looking at all offers. Brand New 3 bed, 2 ba home in Grass Valley on a corner lot. Evening views become your nightly enjoyment unfolding from your very own open-concept sanctuary. Imagine whipping up culinary masterpieces in your gourmet kitchen - granite countertops, sleek white cabinets, & top-of-the-line GE stainless steel appliances await your inner chef! Unwind in your sprawling master suite complete with a walk-in closet & double vanity. But wait, there's more! Owned solar panels & HOA-maintained landscaping ensure low-maintenance bliss. This isn't your average house; it's a statement piece. The stunning board & batten and stucco exterior exudes timeless charm, while the corner location grants you enviable extra sunlight and privacy.  Grass Valley is your playground, offering a vibrant mix of shops, restaurants, and hidden gems. Yearning for nature's embrace? Your backyard practically transforms into the trailhead! Hike and bike amidst breathtaking scenery, all accessible from your doorstep. This isn't just a house; it's a lifestyle perfectly tailored to you. Don't miss this opportunity to live life on your terms! Unlock the door to your dream home!","1992","Active","Timberwood Estates","New"
"0","Grass Valley","14446 Perimeter","95949","Contemporary,Craftsman","3","","0.00","Ceiling Fan(s),Central,Whole House Fan","557","Entry Gate","","3","2","Central,Electric","Three Or More","1150000.00","11/03/23","223108138","12.2800","534917","11/15/23","1150000.00","Private,Garage Door Opener,Garage Facing Front,Uncovered Parking Spaces 2+,Golf Cart,Guest Parking Available,Interior Access","0","Front Porch,Covered Deck","","No","","Residential","12.28+/- acres. Gated privacy in an estate setting.  Geothermal heat and solar amenities. Water features, koi pond, rose gardens, maples & decorative plants and trees. An incredible landscaped setting with colorful views from every window. Home to the largest Digger Pine in the world. Patio great for outside dining. Potting shed and seating areas throughout the gardens.   2-1500 gallon water storage tanks, 4" of NID irrigation water, domestic well. A serene setting for an avid gardener to enjoy. Quiet spaces for relaxing offering many possibilities and ways to experience this special property.","2140","Active","","2002"
"2","Grass Valley","16305 Duggans","95949","Traditional","4","","0.00","Central","415","","Living Room,Master Bedroom,Wood Burning,Gas Log","3","2","Central,Fireplace(s),MultiZone","","1375000.00","04/05/24","224033918","12.0000","522720","04/05/24","1475000.00","Attached,RV Possible,Garage Facing Side","1","Uncovered Deck","","No","","Residential","Discover South County Vista, a luxurious 4-bed, 3.5-bath estate on 12 acres in Sierra Foothills.  With a spacious 3900 sq ft layout, gourmet kitchen, and panoramic views, it offers serene living.  Close to amenities yet secluded, it's perfect for nature lovers. Embrace luxury in nature at South  County Vista.  Welcome to South County Vista, a luxurious 4-bed, 3.5-bath estate nestled on 11 acres in the  Sierra Foothills. With a spacious 3900 sq ft layout, this home boasts a gourmet kitchen, formal  dining, and panoramic views from every window. Enjoy outdoor living on the expansive deck  overlooking the serene landscape. Just 2.5 miles from amenities and Highway 49, yet secluded, it  offers convenience without sacrificing tranquility. Surrounded by nature, it's a haven for wildlife  enthusiasts. Escape to South County Vista and embrace luxury living in the heart of nature.","3919","Active","","2000"
"1","Penn Valley","11359 Ringtail Rd","95946","","3","","0.00","Ceiling Fan(s),Central","292","","Living Room,Gas Log","2","2","Propane,Central,Fireplace(s)","One","395000.00","04/10/24","224037844","0.3400","14810","07/12/24","479000.00","Attached","0","","","No","","Residential","This is the single-story open concept home on a level lot! Close to golf course, main gate, and new clubhouse. Brand new carpet. Granite countertops with a beautiful backsplash and lots of cabinets, stainless steel appliances, vinyl windows, six-panel interior doors, laminate flooring, custom tile walk-in shower with glass enclosure, designer lighting and trim throughout. Fireplace in living room. Beautiful rock outcroppings, large trees, and a flat, private backyard. Lake Wildwood is a beautiful, gated community in the Sierra foothills. Just one hour to Lake Tahoe or Sacramento; 24-hour security, an 18-hole golf course, lake for swimming, boating, and fishing, lap pool with snack bar and locker rooms, community center with a wide variety of clubs and classes, 5 beachside parks, marina, bocce ball, pickleball courts, tennis courts. There's even live concerts and fireworks!","1603","Active","Lake Wildwood","1978"
"1","Grass Valley","13922 Auburn Rd","95949","Victorian","5","","0.00","Central","375","","Living Room,Gas Log","3","2","Central","Two","1099000.00","04/18/24","224039772","2.1900","95396","04/19/24","1299000.00","RV Possible,Detached,Garage Facing Side,Guest Parking Available","1","","","Yes","Built-In,Pool/Spa Combo,Fenced,Gunite Construction","Residential","NEWLY PRICED! TWO HOMES on 2.19 acres in the heart of Grass Valley offer an ideal setting for this iconic 3BD/2.5BA Victorian home & 2BD/1BA guesthouse. Built in 2000, the 2080 SF main house features cathedral ceilings, abundant windows, all-day natural light & an open floor plan. A formal living room w/ a floor-to-ceiling stone fireplace offers panoramic countryside views. The sun-soaked kitchen features a pantry & an island. A den, formal dining room, office area & half-bath allow for flexibility of space. The primary en-suite bedroom completes the 1st floor, w/ a walk-in closet, deep soaking tub & outdoor access. A custom-built spiral staircase w/ a glass display case graces the center of the home. 2 bedrooms & 1 bath reside on the 2nd floor. Built in 2019, the 966 SF 2BD/1BA guesthouse enjoys beamed ceilings, quality finishes & an open concept. A covered porch overlooks the property. Offering privacy, single-level access & separate metering, the guesthouse is perfect for guests or tenants. A natural design pool/spa features 4 waterfalls. Savor sunny days on 4 porches, 2 patios & 1 balcony. Almost nightly sunsets illuminate the backyard. Property is partially fenced w/ a barn, a 2 car garage, expansive driveway, owned solar & generators.","3026","Active","","2000"
"2","Grass Valley","16096 Perimeter Rd","95949","Traditional","4","","0.00","Central","377","BBQ Built-In,Entry Gate","Living Room,Master Bedroom","3","3","Central,Fireplace(s)","","4775000.00","05/13/24","224050470","171.3900","7465748","05/13/24","4775000.00","Detached,Uncovered Parking Space,Workshop in Garage","1","Covered Patio,Uncovered Patio","","Yes","Built-In,Pool Cover","Residential","Rock Creek Ranch is a stunning estate nestled in the Sierra foothills featuring an exquisite 6,750 residence alongside a lovely private lake. Ideal for entertaining with a spacious kitchen, wine cellar, elegant living room, formal dining room, and two spacious family rooms. Enjoy the lake from the sunlit breakfast room. Large bedrooms, bathrooms, and a studio room offer ample space.        Perfect for multigenerational use with a 1,500 square foot guest home adjacent to the main house that includes 3 bedrooms, 2 bathrooms, kitchen, living room, and laundry. There is a caretaker residence further away on the property.        This property is an outstanding outdoor recreational retreat in a serene setting. Relax in the pool and spa, paddleboard, kayak, or fish in the lake. There is plenty of space for hiking, ATV adventures, hunting, and trap shooting. For horse enthusiasts, there is a four-stall barn, several paddocks, a fenced arena, and 170 acres for riding. Enjoy the nearby charming towns of Grass Valley and Nevada City.        Extremely energy efficient, the geo-exchange system heats and cools the house.  Solar panels linked to the grid provide approximately 75% of the electricity.  Plenty of irrigation water is available through the Nevada Irrigation District.","6757","Active","","2002"
"2","Grass Valley","12841 Elster Place","95949","Barn Type,Ranch","1","","0.00","Central","298","Entry Gate","Family Room,Wood Burning","2","0","Propane,Central,Fireplace Insert,Fireplace(s)","Two","1895000.00","05/08/24","224050768","49.9400","2175386","05/31/24","2190000.00","RV Access,Guest Parking Available","0","Covered Deck,Uncovered Patio","","No","","Residential","Sierra Foothills ranch. 49.9+ acres 5 miners inches of gravity fed irrigation water (April-October) with a K-line system for efficiency. Year-round creek & Class III soil.  25+/- acres of irrigated pastures, family orchard, garden, a 4320 John Deere Tractor with attachments & John Deere riding mower. Outdoor arena.  2,340 SF Custom built guest house. Built-in bunk beds for kids, gas fireplace, a Sub-Zero fridge, Dacor stove, Bosch dishwasher, and a bar area with a wine fridge, microwave, ice maker, and carriage house doors to the patio. High-end construction and appliances. Underground power to the guest & main house location ensures unobstructed views. 20+ acres fully fenced, the property features a 4,000+/- SF Pros multi-purpose barn with 3 beds, 3 baths and spacious rooms for gatherings. Property includes two septic systems, three wells, custom gates, loafing shed. A rare blend of luxury, functionality, horse property, and agricultural potential in the heart of the Nevada County Sierra Foothills. Perfect for family gatherings or retreat  in a picturesque pastoral setting while enjoying all nature has to offer.","2340","Active","","2007"
"0","Grass Valley","23455 Perimeter Rd","95949","Ranch","3","","0.00","Wall Unit(s),Window Unit(s)","361","","","2","0","Central","","569000.00","05/29/24","81967558","10.0000","435600","05/29/24","599000.00","Uncovered","0","","","No","","Residential","Discover the perfect blend of peaceful countryside living and city convenience with this delightful 3- bedroom, 2-bath home. Situated on a spacious, flat lot, this property offers endless possibilities for your own farm, complete with a permitted greenhouse for year-round gardening.  The home features an open-concept living and dining area with plenty of natural light, a modern kitchen, and comfortable bedrooms. Just a short drive from shopping, dining, and entertainment, this property is perfect for those seeking a rural retreat with easy access to city life. Don't miss this unique opportunity!","1580","Active","","2018"
